x1,x2,target
-2.0,0.88,127.46
-6.55,-7.42,105.1
3.18,-10.73,118.55000000000001
-8.9,2.9,33.97
1.11,-7.62,127.79
-0.2,-9.6,120.66
-8.4,-2.99,91.38
-22.98,2.85,165.66000000000003
14.57,21.09,21.22
3.17,16.14,57.12
-26.64,-12.63,171.82
-4.26,-13.24,202.41
3.94,0.65,-85.02000000000001
-2.28,5.57,132.81
5.8,-1.32,-57.769999999999996
-9.73,21.72,98.27
1.75,11.77,12.99
-0.53,16.4,83.38999999999999
-1.83,-4.18,23.79
-2.21,-8.97,74.77
2.0,-10.7,89.28
9.33,-1.14,11.679999999999998
-5.3,-12.58,96.21
-4.07,-6.34,24.72
1.61,-4.31,98.87
-1.2,9.44,154.83999999999997
3.86,-4.73,54.620000000000005
7.18,-14.07,47.400000000000006
12.91,-4.47,-111.6
-1.16,1.89,-8.7
-22.77,5.61,28.57
-0.7,-9.22,29.43
3.54,6.47,-59.07
-1.87,13.87,-38.35000000000001
